,A2C,PPO,DDPG,TD3,SAC,Min,Momentum,Equal
Annual return,-0.0011490408798382479,-0.001142169742419985,0.0013919713363681474,0.0025808224817389647,0.0027262963821332864,-0.004366986778507664,-0.033145986355161194,0.005237578183040714
Cumulative returns,-0.0017094026812468632,-0.0016991834934566574,0.0020720894150658697,0.0038429275015934294,0.004059686711213262,-0.006474306603991509,-0.048795878808800874,0.007783077362697899
Annual volatility,0.04622673799077007,0.04929497625243199,0.0559390131148072,0.043810862945566076,0.04800824958852579,0.007121794603116906,0.06342422670968098,0.04838772283233977
Sharpe ratio,-0.0018290220518470456,0.0013965100675888918,0.052762603925058923,0.08067180481286124,0.08064431477550603,-0.610971961763618,-0.49987767673196626,0.13208595618038155
Calmar ratio,-0.017271609769417266,-0.015728359556287593,0.01734865686898155,0.040365362535004515,0.038703891379761525,-0.32375557897206914,-0.2921553240925356,0.07374569923571887
Stability,0.002125856531931269,0.01752536403186432,0.020954063846972504,2.561672630596242e-05,0.0005571010428360347,0.02035316692356755,0.6137305265444487,0.008238998544964257
Max drawdown,-0.06652772354044541,-0.0726184913520361,-0.08023510677975976,-0.06393656143930075,-0.07043985203924176,-0.013488529811201834,-0.11345330247913855,-0.07102215095011104
Omega ratio,0.9996937657624545,1.000232976733849,1.008835716002742,1.0136380240026202,1.0135666098789804,0.8999450009584454,0.9068881156141779,1.0223350037177457
Sortino ratio,-0.002654581085326829,0.001999580996601146,0.0751359790239635,0.11725067842953425,0.11686053834544666,-0.8336158856737913,-0.7236446999714855,0.19072666009136396
Skew,0.23131719267092976,0.046784424043886365,-0.013633344161630192,0.19830589502152718,0.14515487133685287,-0.3269064327793297,0.9801144777204478,0.0726047304573116
Kurtosis,2.016425707469982,1.113128611033603,1.0934658204460082,1.865548135861788,1.61066626219875,3.246301420091256,9.860242844251005,1.3245320663504172
Tail ratio,1.0270336808313139,0.9632979975098989,0.9775389070753183,0.9995177021825431,0.9728356535011764,0.980962721164641,0.8576790092472575,1.043766407766369
Daily value at risk,-0.005824357069313495,-0.006210310062121505,-0.0070359409502578985,-0.005505624902940487,-0.006033107456735953,-0.000914528514761489,-0.008116512407702033,-0.006070917598569106
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,1.0000000000000002,1.0000000000000004,1.0,1.0000000000000018,0.9999999999999997,1.0000000000000004,1.0,1.0000000000000007
